نام جدول,نام ستون,تعداد مقدار غیرخالی قبل,تعداد مقدار معتبر بعد,تعداد تبدیل‌نشده,درصد موفقیت تبدیل,توضیح
Employees,HireDate,10,10,0,100.0,str -> datetime64[ns]. روش: فرمت‌های صریح، سپس parser عمومی. نمونه‌های تبدیل‌نشده: ندارد
Employees,BirthDate,10,10,0,100.0,str -> datetime64[ns]. روش: فرمت‌های صریح، سپس parser عمومی. نمونه‌های تبدیل‌نشده: ندارد
Orders,ShippedDate,795,795,0,100.0,str -> datetime64[ns]. روش: فرمت‌های صریح، سپس parser عمومی. نمونه‌های تبدیل‌نشده: ندارد
Orders,RequiredDate,830,830,0,100.0,str -> datetime64[ns]. روش: فرمت‌های صریح، سپس parser عمومی. نمونه‌های تبدیل‌نشده: ندارد
Orders,OrderDate,830,830,0,100.0,str -> datetime64[ns]. روش: فرمت‌های صریح، سپس parser عمومی. نمونه‌های تبدیل‌نشده: ندارد
